Encoded State: [2.0, 0.0, 0.05, 1.0, 0.95, 0.05], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 0.95, 0.99, 0.06315789473684211], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 0.99, 0.95, 0.06060606060606061], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.98, 0.99, 0.030612244897959183], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.01, 0.96, 0.0297029702970297], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.96, 0.99, 0.052083333333333336], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 0.99, 0.95, 0.06060606060606061], Shape: (6,)
Encoded State: [2.0, 3.0, 0.08, 0.95, 0.97, 0.08421052631578947], Shape: (6,)
Encoded State: [2.0, 3.0, 0.12, 0.97, 0.91, 0.12371134020618557], Shape: (6,)
Encoded State: [2.0, 4.0, 0.14, 0.95, 0.91, 0.14736842105263157], Shape: (6,)
Encoded State: [2.0, 4.0, 0.16, 0.91, 0.93, 0.17582417582417584], Shape: (6,)
Encoded State: [2.0, 4.0, 0.2, 0.93, 0.87, 0.21505376344086022], Shape: (6,)
Encoded State: [2.0, 5.0, 0.22, 0.91, 0.87, 0.24175824175824176], Shape: (6,)
Encoded State: [2.0, 5.0, 0.24, 0.87, 0.89, 0.27586206896551724], Shape: (6,)
Encoded State: [2.0, 5.0, 0.28, 0.89, 0.83, 0.3146067415730337], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.82, 1.15, 0.036585365853658534], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 1.15, 0.81, 0.034782608695652174], Shape: (6,)
Encoded State: [2.0, 3.0, 0.04, 0.81, 1.15, 0.04938271604938271], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 1.15, 0.79, 0.05217391304347826], Shape: (6,)
Encoded State: [2.0, 4.0, 0.08, 0.79, 1.13, 0.10126582278481013], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.99, 0.98, 0.030303030303030304], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.0, 0.97, 0.03], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.97, 0.98, 0.05154639175257732], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 0.98, 0.96, 0.061224489795918366], Shape: (6,)
Encoded State: [2.0, 3.0, 0.08, 0.96, 0.96, 0.08333333333333333], Shape: (6,)
Encoded State: [2.0, 3.0, 0.12, 0.96, 0.92, 0.125], Shape: (6,)
Encoded State: [2.0, 4.0, 0.14, 0.94, 0.92, 0.14893617021276595], Shape: (6,)
Encoded State: [2.0, 4.0, 0.14, 0.92, 0.94, 0.15217391304347827], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.91, 1.06, 0.03296703296703297], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 1.06, 0.9, 0.03773584905660377], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.9, 1.05, 0.05555555555555555], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 0.89, 1.05, 0.06741573033707865], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 1.05, 0.89, 0.05714285714285714], Shape: (6,)
Encoded State: [2.0, 4.0, 0.06, 0.89, 1.05, 0.06741573033707865], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.1, 0.87, 0.02727272727272727], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.89, 1.08, 0.033707865168539325], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 1.08, 0.88, 0.037037037037037035], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.99, 0.98, 0.030303030303030304], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.0, 0.97, 0.03], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.97, 0.98, 0.05154639175257732], Shape: (6,)
Encoded State: [2.0, 0.0, 0.07, 0.98, 0.95, 0.07142857142857142], Shape: (6,)
Encoded State: [2.0, 3.0, 0.08, 0.97, 0.95, 0.08247422680412371], Shape: (6,)
Encoded State: [2.0, 3.0, 0.1, 0.95, 0.95, 0.10526315789473684], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.94, 1.03, 0.031914893617021274], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.05, 0.92, 0.02857142857142857], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 0.92, 1.04, 0.043478260869565216], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.91, 1.06, 0.03296703296703297], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.99, 0.98, 0.030303030303030304], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.98, 0.97, 0.05102040816326531], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 0.97, 0.97, 0.061855670103092786], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 0.97, 0.97, 0.061855670103092786], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.96, 1.01, 0.03125], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 1.01, 0.95, 0.039603960396039604], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.0, 0.97, 0.03], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.97, 0.98, 0.05154639175257732], Shape: (6,)
Encoded State: [2.0, 0.0, 0.07, 0.98, 0.95, 0.07142857142857142], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.01, 0.96, 0.0297029702970297], Shape: (6,)
